City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,sobolevo,54.4299,31.8996,32.05,99,100,8.9,RU,1675351249
258,mahon,39.8885,4.2658,54.16,66,20,19.57,ES,1675351249
259,alekseyevsk,57.8406,108.3492,7.66,95,100,8.34,RU,1675351250
260,nome,64.5011,-165.4064,19.47,93,100,0.0,US,1675351250
261,elko,41.0002,-115.5012,3.63,78,4,3.0,US,1675351250
262,san cristobal,7.7669,-72.225,71.78,37,14,5.64,VE,1675351251
263,pevek,69.7008,170.3133,-13.07,100,95,3.2,RU,1675351251
264,sibolga,1.7427,98.7792,77.09,89,100,2.98,ID,1675351252
265,tura,25.5198,90.2201,61.03,43,23,2.75,IN,1675351252
266,tomatlan,19.9333,-105.25,72.28,45,92,1.43,MX,1675351253
267,yazman,29.1212,71.7446,67.77,21,0,6.46,PK,1675351253
268,bonavista,48.6499,-53.1147,17.67,61,93,16.44,CA,1675351253
269,sosnogorsk,63.6023,53.8817,21.45,95,100,6.87,RU,1675351253
270,sacile,45.9541,12.5029,49.78,71,20,3.44,IT,1675351200
271,alyangula,-13.8483,136.4192,83.25,80,100,15.17,AU,1675351254
272,pangobilian,8.8011,117.8594,78.87,85,100,11.27,PH,1675351255
273,ribeira grande,38.5167,-28.7,63.0,67,20,14.97,PT,1675351255
274,sept-iles,50.2001,-66.3821,13.05,73,20,6.91,CA,1675351255
275,vodnyy,63.5046,53.4095,21.78,95,100,6.51,RU,1675351256
276,guia de isora,28.2115,-16.7795,64.54,46,10,2.8,ES,1675351256
277,somerset east,-32.7217,25.588,79.03,47,4,22.41,ZA,1675351256
278,alice springs,-23.7,133.8833,65.75,68,0,0.0,AU,1675351257
279,sarkand,45.41,79.9186,33.12,84,100,4.83,KZ,1675351257
280,ginir,7.1333,40.7,74.97,18,41,9.8,ET,1675351258
281,dingle,10.9995,122.6711,74.26,94,68,7.16,PH,1675351258
282,saint-pierre,-21.3393,55.4781,82.08,78,75,17.27,RE,1675351258
283,mount pleasant,32.7941,-79.8626,55.08,98,100,4.61,US,1675351259
284,ilinskiy,55.619,38.1182,32.38,83,75,8.99,RU,1675350967
285,saint-philippe,-21.3585,55.7679,81.99,83,54,11.65,RE,1675351259
286,banda aceh,5.5577,95.3222,78.76,84,52,5.95,ID,1675351260
287,asau,46.4333,26.4,33.28,82,97,5.91,RO,1675351261
288,moussoro,13.6408,16.4901,90.91,11,100,15.99,TD,1675351261
289,matara,5.9485,80.5353,75.83,90,100,2.42,LK,1675351262
290,pacific grove,36.6177,-121.9166,42.55,65,0,5.75,US,1675351262
291,matay,28.419,30.7792,61.38,32,0,7.54,EG,1675351263
292,raudeberg,61.9875,5.1352,34.47,76,100,6.71,NO,1675351263
293,menongue,-14.6585,17.691,76.77,66,86,0.92,AO,1675351263
294,havre-saint-pierre,50.2334,-63.5986,10.4,85,100,13.8,CA,1675351264
295,faya,18.3851,42.4509,60.91,67,20,7.34,SA,1675351264
296,mahina,-17.5065,-149.489,76.77,73,20,3.44,PF,1675351265
297,clyde river,70.4692,-68.5914,-25.37,68,40,10.36,CA,1675351266
298,lompoc,34.6391,-120.4579,54.79,74,0,8.05,US,1675351267
299,half moon bay,37.4636,-122.4286,47.26,74,0,3.44,US,1675351268
300,buzmeyin,38.0507,58.2056,49.73,71,40,2.3,TM,1675351268
301,hithadhoo,-0.6,73.0833,82.45,65,95,16.08,MV,1675351269
302,manaus,-3.1019,-60.025,84.7,70,40,6.91,BR,1675351031
303,esperance,-33.8667,121.9,62.24,72,68,12.06,AU,1675351270
304,safford,32.834,-109.7076,47.12,64,0,5.75,US,1675351270
305,salinopolis,-0.6136,-47.3561,73.45,97,100,3.71,BR,1675351270
306,namie,37.4833,141.0,33.71,69,100,9.19,JP,1675351271
307,namibe,-15.1961,12.1522,78.51,68,56,11.34,AO,1675351271
